"ISIN","DocumentType","EffectiveDate","DownloadDate","DownloadUrl","FilePath","MD5Hash","FileSize"
"DE000A2P3XH6","Jahresbericht","30.06.2023","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/jahresbericht/Jahresbericht_1874_ALAP_Bericht_2023-06-30_Layout_PDF.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A2P3XG8\Jahresbericht_1874_ALAP_Bericht_2023-06-30_Layout_PDF.pdf","cfb487742676e44ba8dc13946afdcba9","1464995"
"DE000A2P3XH6","Halbjahresbericht","31.12.2023","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/halbjahresbericht/HJB_1874_ALAP_Bericht_2023-12-31_Layout_PDF.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A2P3XG8\HJB_1874_ALAP_Bericht_2023-12-31_Layout_PDF.pdf","6b7763c5c9130dcdfe16779d49a19fba","663105"
"DE000A0MYEE7","Verkaufsprospekt","01.07.2023","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_ALPHA_TOP_SELECT_01_07_2023.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A0MYEE7\VKP_ALPHA_TOP_SELECT_01_07_2023.pdf","b921a0801ee8ad0323869c5cd042d09e","1314781"
"DE000A0MYEE7","Jahresbericht","31.12.2023","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/jahresbericht/JB_6082_ALPHA_TOP_SELECT_dynamic_Bericht_2023-12-31.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A0MYEE7\JB_6082_ALPHA_TOP_SELECT_dynamic_Bericht_2023-12-31.pdf","d83af91c5742615aa9929be00d908d9c","1217923"
"DE000A0MYEE7","Halbjahresbericht","30.06.2023","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/halbjahresbericht/HJB_6082_ALPHA_TOP_SELECT_dynamic_Bericht_2023-06-30.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A0MYEE7\HJB_6082_ALPHA_TOP_SELECT_dynamic_Bericht_2023-06-30.pdf","45b3512d9d2e5eac3fd7a1bc8c6205d5","641576"
"DE000ANTE1A3","Verkaufsprospekt","05.04.2024","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_antea_InvAG_05_04_2024.pdf","c:\Projects\FundDatabase\Hansainvest\DE000ANTE1A3\VKP_antea_InvAG_05_04_2024.pdf","36c1a1983c3a61b4ab1f221863fa3614","2398923"
"DE000ANTE1A3","Jahresbericht","30.06.2023","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/jahresbericht/JB-antea_06_2023.pdf","c:\Projects\FundDatabase\Hansainvest\DE000ANTE1A3\JB-antea_06_2023.pdf","d2edcc661be6b7f01d188082c960a68b","896330"
"DE000ANTE1A3","Halbjahresbericht","31.12.2023","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/halbjahresbericht/HJB-antea_12_2023.pdf","c:\Projects\FundDatabase\Hansainvest\DE000ANTE1A3\HJB-antea_12_2023.pdf","4300416528ebd94b2107913aab3362c0","282736"
"DE000ANTE1V9","Verkaufsprospekt","05.04.2024","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_antea_InvAG_05_04_2024.pdf","c:\Projects\FundDatabase\Hansainvest\DE000ANTE1A3\VKP_antea_InvAG_05_04_2024.pdf","36c1a1983c3a61b4ab1f221863fa3614","2398923"
"DE000ANTE1V9","Jahresbericht","30.06.2023","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/jahresbericht/JB-antea_06_2023.pdf","c:\Projects\FundDatabase\Hansainvest\DE000ANTE1A3\JB-antea_06_2023.pdf","d2edcc661be6b7f01d188082c960a68b","896330"
